Timestamp,transaction-fees-usd
29/11/2020,377090.262301854
30/11/2020,799806.709294042
01/12/2020,523414.123995243
02/12/2020,817492.296109237
03/12/2020,78420.16068361
04/12/2020,332834.596984534
05/12/2020,26834.513242693
06/12/2020,313874.892927799
07/12/2020,406369.88771375
08/12/2020,323373.801235514
09/12/2020,353547.101491644
10/12/2020,275734.228877002
11/12/2020,42759.8594338422
12/12/2020,55747.2441937736
13/12/2020,136052.378991959
14/12/2020,388313.33562396
15/12/2020,662246.525156564
16/12/2020,764622.346848548
17/12/2020,510788.664858939
18/12/2020,800254.841559444
19/12/2020,740165.757397466
20/12/2020,241780.36614949
21/12/2020,87551.77943903
22/12/2020,369707.107698524
23/12/2020,476837.244913453
24/12/2020,217720.486943299
25/12/2020,776182.131721611
26/12/2020,494179.26724247
27/12/2020,711235.311181774
28/12/2020,828428.115468294
29/12/2020,978522.545802556
30/12/2020,279398.772650015
31/12/2020,455398.207853411
01/01/2021,504284.315662754
02/01/2021,893753.635204985
03/01/2021,516375.453386646
04/01/2021,677640.800432405
05/01/2021,477049.485139606
06/01/2021,701567.105017461
07/01/2021,435433.863222621
08/01/2021,571160.476991666
09/01/2021,643194.912175911
10/01/2021,563809.325475646
11/01/2021,843153.716853884
12/01/2021,725847.947130554
13/01/2021,760122.5729426
14/01/2021,500740.880559786
15/01/2021,324821.305439297
16/01/2021,359708.057045858
17/01/2021,85563.262248467
18/01/2021,635331.922466609
19/01/2021,281456.681040819
20/01/2021,920315.57792635
21/01/2021,691982.66291125
22/01/2021,439615.620564874
23/01/2021,863241.646068781
24/01/2021,430771.171271744
25/01/2021,628887.223134517
26/01/2021,576778.619359798
27/01/2021,799236.510165636
28/01/2021,927830.549549784
29/01/2021,717602.895583362
30/01/2021,354950.926542222
31/01/2021,428334.453749844
01/02/2021,206601.055430933
02/02/2021,914131.689372337
03/02/2021,272363.342283791
04/02/2021,484953.255958728
05/02/2021,773344.524637156
06/02/2021,278905.683908417
07/02/2021,870830.670150638
08/02/2021,291436.043097354
09/02/2021,780335.760316885
10/02/2021,872186.489498895
11/02/2021,813445.721500803
12/02/2021,946334.441674999
13/02/2021,155853.47150963
14/02/2021,911922.730046334
15/02/2021,865760.699015841
16/02/2021,250739.439918746
17/02/2021,867926.502137245
18/02/2021,560343.8188442
19/02/2021,324614.345056749
20/02/2021,621047.289411742
21/02/2021,195847.117661797
22/02/2021,57970.466547955
23/02/2021,584737.31624315
24/02/2021,734467.165401474
25/02/2021,938220.679978245
26/02/2021,914902.241621362
27/02/2021,716584.173653777
28/02/2021,830065.236725032
01/03/2021,547506.395661628
02/03/2021,732292.332712144
03/03/2021,608811.642099855
04/03/2021,464049.639443926
05/03/2021,766262.353274381
06/03/2021,581184.378049325
07/03/2021,608160.352699808
08/03/2021,676836.613151384
09/03/2021,129405.834610043
10/03/2021,269462.062021 274
11/03/2021,665975.420026365
12/03/2021,912800.200813857
13/03/2021,353415.752495764
14/03/2021,454623.616861326
15/03/2021,115414.671408256
16/03/2021,18255.183766747
17/03/2021,93851.597071255
18/03/2021,889476.881835576
19/03/2021,922164.745245101
20/03/2021,555153.654271334
21/03/2021,829963.204994431
22/03/2021,523133.092676763
23/03/2021,550595.201614134
24/03/2021,498616.290606775
25/03/2021,326816.954252167
26/03/2021,697780.907201107
27/03/2021,241129.2352661
29/03/2021,649750.663179881
30/03/2021,655379.479868109
31/03/2021,22839.755071059
01/04/2021,303552.033138514
02/04/2021,302028.487984678
03/04/2021,53962.998789172
04/04/2021,879756.590518606
05/04/2021,510408.653952021
06/04/2021,219566.173913687
07/04/2021,753741.895590767
08/04/2021,237750.288578641
09/04/2021,856015.940104296
10/04/2021,392473.672499956
11/04/2021,799375.034562434
12/04/2021,521992.880361168
13/04/2021,350802.34257512
14/04/2021,790846.152798707
15/04/2021,188549.816228364
16/04/2021,654721.85556124
17/04/2021,48484.461639743
18/04/2021,2476165.52335419
19/04/2021,2351427.72068432
20/04/2021,6903066.46923622
21/04/2021,4191444.15241166
22/04/2021,6131777.90699847
23/04/2021,3449168.61564893
24/04/2021,436390.177821115
25/04/2021,771401.265578174
26/04/2021,90410.378321573
27/04/2021,851481.485113187
28/04/2021,443013.032134759
29/04/2021,790812.84611359
30/04/2021,109470.678177836
01/05/2021,56552.391225515
02/05/2021,835523.62963271
03/05/2021,436473.553799337
04/05/2021,497091.92912356
05/05/2021,618412.242955813
06/05/2021,232192.355571224
07/05/2021,203291.381208557
08/05/2021,108566.170966267
09/05/2021,61657.140035584
10/05/2021,826701.432634164
11/05/2021,569327.254052799
12/05/2021,310769.894414552
13/05/2021,571243.821192496
