Timestamp,estimated-transaction-volume
23-09-2020,184851.04294776995
24-09-2020,195896.2267462901
25-09-2020,178614.73269464995
26-09-2020,74160.39488330999
27-09-2020,73759.51965533
28-09-2020,151223.61450625997
29-09-2020,163844.81304375996
30-09-2020,145528.2810982
01-10-2020,156037.05200603
02-10-2020,217076.73619106994
03-10-2020,80285.35246207999
04-10-2020,59889.36436076999
05-10-2020,125552.04600594002
06-10-2020,129486.63340467997
07-10-2020,174094.30786101
08-10-2020,145781.9892372799
09-10-2020,186619.71727888004
10-10-2020,101443.97258364002
11-10-2020,57355.843687999986
12-10-2020,132805.27278606
13-10-2020,149869.35707315995
14-10-2020,144103.09234183
15-10-2020,145192.82140973
16-10-2020,152867.05156987003
17-10-2020,61240.065119880004
18-10-2020,49419.09261597001
19-10-2020,139860.20001045
20-10-2020,139952.75314706005
21-10-2020,190561.11493135992
22-10-2020,255685.31198723993
23-10-2020,214302.02330150997
24-10-2020,78368.12347480995
25-10-2020,58962.23316382002
26-10-2020,142312.25893298996
27-10-2020,187898.01163798006
28-10-2020,160004.86911104003
29-10-2020,141057.58993046999
30-10-2020,95944.03520103
31-10-2020,86295.05041193997
01-11-2020,126516.49777352999
02-11-2020,279667.716385
03-11-2020,143257.94298741993
04-11-2020,348418.6143041401
05-11-2020,226071.88272974023
06-11-2020,97493.11126577
07-11-2020,73988.18895611
08-11-2020,177538.4853910999
09-11-2020,171897.33229668
10-11-2020,174110.37201595
11-11-2020,204679.98235913995
12-11-2020,163123.30853356994
13-11-2020,84583.84085695003
14-11-2020,49737.54381367
15-11-2020,142732.5278929499
16-11-2020,181281.85333922997
17-11-2020,231375.53073303992
18-11-2020,148181.44045960004
19-11-2020,227786.31927440004
20-11-2020,120634.32170732995
21-11-2020,78963.93118706
22-11-2020,146336.89543220002
23-11-2020,219739.99051476
24-11-2020,187608.88242723997
25-11-2020,205207.80888847006
26-11-2020,209319.16610076
27-11-2020,75790.24754619996
28-11-2020,75273.85776333
