Timestamp,output-volume;
29/06/2021,1376609.20132698;
30/06/2021,1238334.35607615;
01/07/2021,1644452.31647457;
02/07/2021,1732809.49639381;
03/07/2021,1296389.16148781;
04/07/2021,1587004.70761521;
05/07/2021,1440760.85789436;
06/07/2021,1332945.62983978;
07/07/2021,1325686.49336794;
08/07/2021,3251402.80908538;
09/07/2021,3425602.05304409;
10/07/2021,1855040.58952896;
11/07/2021,1858544.09979273;
12/07/2021,1676904.16361545;
13/07/2021,1515231.34067512;
14/07/2021,1504272.59136768;
15/07/2021,1849483.77707427;
16/07/2021,1829236.32098063;
17/07/2021,1858454.21911175;
18/07/2021,1172816.41853566;
19/07/2021,1798945.07902032;
20/07/2021,1820526.01967847;
21/07/2021,1875543.76703071;
22/07/2021,1808323.32064629;
23/07/2021,1752077.67977361;
24/07/2021,1502292.77986505;
25/07/2021,1464218.16519553;
26/07/2021,2298723.54345745;
27/07/2021,7397981.68451784;
28/07/2021,4070288.15811901;
29/07/2021,2612465.11414555;
30/07/2021,1811007.70415419;
31/07/2021,2044926.84177131;
01/08/2021,3288590.1833623;
02/08/2021,2706714.75318516;
03/08/2021,2488175.1324688;
04/08/2021,2373221.55312276;
05/08/2021,1837056.06343282;
06/08/2021,2004227.14697502;
07/08/2021,1888212.31473665;
08/08/2021,1756552.94273168;
09/08/2021,1920458.25447793;
10/08/2021,1837738.15730761;
11/08/2021,2256473.32539169;
12/08/2021,1892160.60014727;
13/08/2021,1662561.35852789;
14/08/2021,1747047.11995235;
15/08/2021,1773893.02521113;
16/08/2021,2342566.49191366;
17/08/2021,2411529.07843465;
18/08/2021,2730229.53672933;
19/08/2021,2580776.05276066;
20/08/2021,2300800.76304596;
21/08/2021,2424895.85851585;
22/08/2021,1809055.88315059;
23/08/2021,3171076.84691278;
24/08/2021,8152009.30387915;
25/08/2021,4217114.32062769;
26/08/2021,4701248.28181272;
27/08/2021,3920236.86487963;
28/08/2021,3498033.5672179;
29/08/2021,3649542.15027809;
30/08/2021,4016524.50573918;
31/08/2021,3858631.49789058;
01/09/2021,4131376.21102284;
02/09/2021,4193550.72717056;
03/09/2021,3019348.47634818;
04/09/2021,2784449.20827097;
05/09/2021,2173011.2349828;
06/09/2021,3562101.27496469;
07/09/2021,3817589.21527609;
08/09/2021,3319896.3772586;
09/09/2021,3844313.12744562;
10/09/2021,9990174.84053035;
11/09/2021,5579844.25260971;
12/09/2021,4486070.98312228;
13/09/2021,10039426.2941965;
14/09/2021,11250928.2251006;
15/09/2021,3971923.07099376;
16/09/2021,4342009.63819425;
17/09/2021,3488122.31328823;
18/09/2021,3012660.25164172;
19/09/2021,2509473.33731974;
20/09/2021,5600407.11970915;
21/09/2021,11240709.1320233;
22/09/2021,5028553.56794;
23/09/2021,4366740.34415485;
24/09/2021,4244794.60650774;
25/09/2021,5211573.50041388;
26/09/2021,3017206.03553658;
